"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 0, 96, 1, 0, 0, NA, 0
"2", 0, 96, 1, 0, 0, NA, 0.01
"3", 0, 94, 3, 0, 0, NA, 0.02
"4", 0, 94, 3, 0, 0, NA, 0.03
"5", 0, 93, 4, 0, 0, NA, 0.04
"6", 0, 92, 5, 0, 0, NA, 0.05
"7", 0, 91, 6, 0, 0, NA, 0.06
"8", 0, 90, 7, 0, 0, NA, 0.07
"9", 0, 89, 8, 0, 0, NA, 0.08
"10", 0, 88, 9, 0, 0, NA, 0.09
"11", 0, 85, 12, 0, 0, NA, 0.1
"12", 0, 85, 12, 0, 0, NA, 0.11
"13", 0, 85, 12, 0, 0, NA, 0.12
"14", 0, 83, 14, 0, 0, NA, 0.13
"15", 0, 83, 14, 0, 0, NA, 0.14
"16", 0, 82, 15, 0, 0, NA, 0.15
"17", 0, 79, 18, 0, 0, NA, 0.16
"18", 0, 79, 18, 0, 0, NA, 0.17
"19", 0, 79, 18, 0, 0, NA, 0.18
"20", 0, 78, 19, 0, 0, NA, 0.19
"21", 0, 77, 20, 0, 0, NA, 0.2
